India Temperature,India Precipitation,India Relative Humidity,India Wind Speed,India Wind Direction,India Mean Sea Level Pressure,Japan Temperature,Japan Precipitation Total,Japan Relative Humidity,Japan Wind Speed,Japan Wind Direction,Japan Mean Sea Level Pressure,Year,Month,Day,Tree Level India,Grass Level India,Weed Level India,Tree Level Japan,Grass Level Japan,Weed Level Japan
23.927973,0,89,1.0182338,225,1012.9,13.931178,0,59,12.413477,330.46124,1018.1,2010,1,1,H,L,L,,,
23.967972,0,90,0.71999997,89.99999,1012.4,13.041178,0,62,11.435313,331.8214,1018.6,2010,1,2,M,L,L,L,L,L
23.867971,0,90,1.8,53.130096,1012.5,12.301178,0,65,10.495713,337.83365,1019.3,2010,1,3,L,L,L,L,L,L
24.167973,1,88,3.5455887,23.962494,1012.4,11.661178,0,67,9.346143,344.35776,1020,2010,1,4,M,L,L,,,
24.247972,0.1,86,4.2136917,19.983109,1012.2,10.931178,0,69,6.519877,353.65985,1020.9,2010,1,5,M,L,L,,,
24.337973,1.1,85,3.5455887,23.962494,1013,10.161178,0,70,6.4799995,360,1021.8,2010,1,6,,,,L,L,L
24.277971,3,87,4.8433046,48.01277,1013,10.461178,0,68,8.669949,4.7636414,1022.8,2010,1,7,,,,L,L,L
24.167973,3.1,87,5.904439,52.431404,1013.9,11.761178,0,62,11.440979,24.145538,1023.4,2010,1,8,L,L,L,L,L,L
24.077972,2.7,87,5.495161,31.607498,1014.4,13.041178,0,60,10.948973,43.66777,1023.7,2010,1,9,L,L,L,L,L,L
24.347973,0.5,83,2.52,360,1014.7,14.401177,0,59,9,53.130096,1023.9,2010,1,10,L,L,L,L,L,L
25.827972,0.1,73,4.510787,61.38954,1014.5,15.931178,0,53,7.0911775,66.037506,1023.6,2010,1,11,L,L,L,,,
26.737972,0.2,69,4.2136917,109.9831,1013.7,17.331179,0,44,5.0142193,68.96249,1023,2010,1,12,L,L,L,,,
28.787971,0,61,5.3999996,143.1301,1012.6,18.60118,0,38,3.7585104,73.30075,1022.1,2010,1,13,,,,L,L,L
30.137972,0,57,5.495161,148.3925,1011.5,19.621178,0,33,3.396233,57.994614,1021.5,2010,1,14,,,,L,L,L
29.097973,0,59,4.1046314,164.74487,1010.9,20.52118,0,29,3.319036,12.528809,1021.1,2010,1,15,L,L,L,L,L,L
30.407972,0,54,1.835647,168.69006,1010.2,21.27118,0,24,4.452954,345.96375,1020.4,2010,1,16,L,L,L,L,L,L
30.607971,0,52,1.609969,153.43495,1009.6,21.731178,0,20,8.78872,325.008,1020.1,2010,1,17,M,L,L,L,L,L
29.507973,0,60,4.3349743,184.76364,1010.2,20.841179,0,18,14.021525,318.12213,1020.6,2010,1,18,H,L,L,,,
27.677973,0,71,2.968636,194.03624,1010.9,18.791178,0,20,15.03835,312.08917,1021.4,2010,1,19,H,L,L,,,
26.397972,0,74,6.3690495,222.7094,1011.3,17.03118,0,22,15.876775,302.96942,1021.9,2010,1,20,,,,,,
26.607971,0,73,4.3349743,221.63354,1011.4,15.471178,0,23,15.1884165,301.42957,1022.5,2010,1,21,,,,,,
26.697971,0.3,73,3.5455887,156.0375,1012,14.831178,0,26,11.165805,339.22775,1022.1,2010,1,22,L,L,L,L,L,L
25.737972,0,79,1.9386592,111.80141,1013.2,13.761178,0,25,10.24578,341.56506,1022,2010,1,23,L,L,L,L,L,L
25.737972,0.2,79,1.8,360,1012.7,12.861177,0,25,10.931203,342.75854,1021.9,2010,1,24,M,L,L,L,L,L
26.027971,0.3,76,3.2599385,6.340164,1012.6,11.991178,0,27,10.703569,340.3462,1021.8,2010,1,25,L,L,L,,,
26.107971,0.4,75,5.4833565,23.198593,1012.3,11.271177,0,31,8.891343,328.24054,1021.7,2010,1,26,M,L,L,,,
25.867971,0.7,75,5.315336,28.30075,1012.1,10.561177,0,35,8.39657,329.03625,1021.7,2010,1,27,,,,L,L,L
25.337973,0.5,76,4.072935,44.999985,1011.9,9.931178,0,37,8.534353,332.35403,1021.5,2010,1,28,,,,L,L,L
24.727972,0.6,80,4.0249224,79.695145,1011.9,9.081178,0,40,8.891344,338.6294,1021.7,2010,1,29,M,L,L,L,L,L
24.117971,0.7,85,4.6938252,94.398705,1012.7,8.561177,0,40,8.891344,338.6294,1022,2010,1,30,M,L,L,L,L,L
23.677973,0.3,86,4.1046314,74.74488,1013.3,8.801178,0,44,10.00256,329.7436,1022.3,2010,1,31,H,L,L,L,L,L
25.037971,0,74,7.968939,18.434952,1013.4,11.131178,0,39,12.287555,328.17255,1022,2010,2,1,H,L,L,,,
27.307972,0,60,9.504273,24.623566,1013.1,14.0711775,0,34,12.096214,323.47113,1021.2,2010,2,2,H,L,L,,,
29.577972,0,49,7.7043357,37.40535,1012.8,16.93118,0,28,12.984975,316.1233,1020.6,2010,2,3,,,,L,L,L
30.887972,0,43,7.42159,50.906143,1012.4,19.661179,0,23,11.119281,299.0546,1019.7,2010,2,4,,,,L,L,L
31.037971,0,42,4.802999,102.99461,1011.6,21.391178,0,22,15.7908325,294.22775,1018.5,2010,2,5,H,L,L,L,L,L
32.47797,0,41,6.9247384,152.10272,1010.8,23.44118,0,18,26.493652,312.79742,1017.3,2010,2,6,M,L,L,L,L,L
30.307972,0,51,12.6462,175.1009,1010.5,23.261179,0,19,31.353085,325.76254,1017.1,2010,2,7,L,L,L,L,L,L
31.83797,0,45,15.137133,177.27368,1009.8,22.85118,0,20,29.957968,327.26477,1017,2010,2,8,M,L,L,,,
30.867971,0,49,20.008356,188.2759,1009.4,22.401178,0,20,29.01743,322.56143,1016.9,2010,2,9,H,L,L,,,
29.827972,0,53,19.130875,199.79887,1009.1,21.43118,0,20,29.59235,323.40894,1017.3,2010,2,10,,,,L,L,L
28.437971,0,58,17.555307,208.1416,1009.9,20.10118,0,21,29.055367,326.11304,1017.9,2010,2,11,,,,L,L,L
